url,srcFileName,ignoredMappings,ignoredElements,RMD_TP_raw_abstractMapping,RMD_TP_abstractMapping,RMD_FP_abstractMapping,RMD_FN_abstractMapping,RMD_TP_raw_programElement,RMD_TP_programElement,RMD_FP_programElement,RMD_FN_programElement,GTG_TP_raw_abstractMapping,GTG_TP_abstractMapping,GTG_FP_abstractMapping,GTG_FN_abstractMapping,GTG_TP_raw_programElement,GTG_TP_programElement,GTG_FP_programElement,GTG_FN_programElement,GTS_TP_raw_abstractMapping,GTS_TP_abstractMapping,GTS_FP_abstractMapping,GTS_FN_abstractMapping,GTS_TP_raw_programElement,GTS_TP_programElement,GTS_FP_programElement,GTS_FN_programElement,IJM_T_TP_raw_abstractMapping,IJM_T_TP_abstractMapping,IJM_T_FP_abstractMapping,IJM_T_FN_abstractMapping,IJM_T_TP_raw_programElement,IJM_T_TP_programElement,IJM_T_FP_programElement,IJM_T_FN_programElement,MTD_T_TP_raw_abstractMapping,MTD_T_TP_abstractMapping,MTD_T_FP_abstractMapping,MTD_T_FN_abstractMapping,MTD_T_TP_raw_programElement,MTD_T_TP_programElement,MTD_T_FP_programElement,MTD_T_FN_programElement,GT2_T_TP_raw_abstractMapping,GT2_T_TP_abstractMapping,GT2_T_FP_abstractMapping,GT2_T_FN_abstractMapping,GT2_T_TP_raw_programElement,GT2_T_TP_programElement,GT2_T_FP_programElement,GT2_T_FN_programElement,IAM_T_TP_raw_abstractMapping,IAM_T_TP_abstractMapping,IAM_T_FP_abstractMapping,IAM_T_FN_abstractMapping,IAM_T_TP_raw_programElement,IAM_T_TP_programElement,IAM_T_FP_programElement,IAM_T_FN_programElement,SPN_T_TP_raw_abstractMapping,SPN_T_TP_abstractMapping,SPN_T_FP_abstractMapping,SPN_T_FN_abstractMapping,SPN_T_TP_raw_programElement,SPN_T_TP_programElement,SPN_T_FP_programElement,SPN_T_FN_programElement,SPN_G_T_TP_raw_abstractMapping,SPN_G_T_TP_abstractMapping,SPN_G_T_FP_abstractMapping,SPN_G_T_FN_abstractMapping,SPN_G_T_TP_raw_programElement,SPN_G_T_TP_programElement,SPN_G_T_FP_programElement,SPN_G_T_FN_programElement,SPN_S_T_TP_raw_abstractMapping,SPN_S_T_TP_abstractMapping,SPN_S_T_FP_abstractMapping,SPN_S_T_FN_abstractMapping,SPN_S_T_TP_raw_programElement,SPN_S_T_TP_programElement,SPN_S_T_FP_programElement,SPN_S_T_FN_programElement
https://github.com/CyanogenMod/android_frameworks_base/commit/658a918eebcbdeb4f920c2947ca8d0e79ad86d89,packages.SystemUI.src.com.android.systemui.statusbar.phone.PhoneStatusBar,4093,553,4389,296,0,0,559,6,0,0,4384,291,0,5,559,6,0,0,4387,294,0,2,559,6,0,0,4381,288,1,8,559,6,0,0,4382,289,10,7,559,6,0,0,4387,294,2,2,559,6,0,0,4384,291,8,5,559,6,0,0,4389,296,1,0,559,6,0,0,4387,294,1,2,559,6,0,0,4389,296,1,0,559,6,0,0
https://github.com/CyanogenMod/android_frameworks_base/commit/76331570e68446c17e4ff5287f5b7b2b6b472895,packages.Keyguard.src.com.android.keyguard.KeyguardUpdateMonitor,1223,178,1234,11,0,0,180,2,0,0,1227,4,4,7,179,1,1,1,1230,7,4,4,179,1,1,1,1234,11,0,0,180,2,0,0,1232,9,2,2,179,1,1,1,1230,7,4,4,179,1,1,1,1234,11,0,0,180,2,0,0,1230,7,5,4,179,1,1,1,1230,7,5,4,179,1,1,1,1230,7,5,4,179,1,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/76331570e68446c17e4ff5287f5b7b2b6b472895,packages.SystemUI.src.com.android.systemui.keyguard.KeyguardViewMediator,1196,171,1230,34,0,0,173,2,0,0,1227,31,0,3,173,2,0,0,1228,32,0,2,173,2,0,0,1230,34,0,0,173,2,0,0,1230,34,1,0,173,2,0,0,1230,34,0,0,173,2,0,0,1230,34,0,0,173,2,0,0,1230,34,0,0,173,2,0,0,1229,33,0,1,173,2,0,0,1230,34,0,0,173,2,0,0
https://github.com/CyanogenMod/android_frameworks_base/commit/96a2c3410f3c71d3ab20857036422f1d64c3a6d3,services.core.java.com.android.server.power.PowerManagerService,2872,348,2923,51,0,0,353,5,0,0,2911,39,4,12,352,4,1,1,2919,47,4,4,352,4,1,1,2923,51,1,0,353,5,0,0,2922,50,4,1,352,4,1,1,2919,47,4,4,352,4,1,1,2923,51,0,0,353,5,0,0,2919,47,5,4,352,4,1,1,2917,45,5,6,352,4,1,1,2919,47,5,4,352,4,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/f166866cd68efa963534c5bc7fc9ca38e4aa2838,core.java.android.text.format.DateFormat,403,41,440,37,0,0,43,2,0,0,429,26,7,11,42,1,1,1,439,36,1,1,43,2,0,0,439,36,0,1,43,2,0,0,435,32,6,5,42,1,1,1,431,28,7,9,42,1,1,1,440,37,0,0,43,2,0,0,432,29,8,8,42,1,1,1,432,29,8,8,42,1,1,1,432,29,8,8,42,1,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/f166866cd68efa963534c5bc7fc9ca38e4aa2838,packages.SettingsProvider.src.com.android.providers.settings.DatabaseHelper,2002,55,2048,46,0,2,57,2,0,0,2047,45,0,3,57,2,0,0,2048,46,0,2,57,2,0,0,2050,48,2,0,57,2,0,0,2050,48,2,0,57,2,0,0,2050,48,2,0,57,2,0,0,2050,48,0,0,57,2,0,0,2049,47,2,1,57,2,0,0,2048,46,2,2,57,2,0,0,2049,47,2,1,57,2,0,0
https://github.com/CyanogenMod/android_frameworks_base/commit/f1b8ae1c44e6ba46118c2f66eae1725259acdccc,core.java.com.android.internal.widget.LockPatternUtils,1455,184,1473,18,0,0,186,2,0,0,1463,8,11,10,185,1,1,1,1466,11,5,7,185,1,1,1,1467,12,3,6,186,2,0,0,1469,14,19,4,185,1,1,1,1467,12,7,6,185,1,0,1,1470,15,3,3,186,2,0,0,1467,12,11,6,185,1,1,1,1467,12,10,6,185,1,1,1,1467,12,9,6,185,1,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/f1b8ae1c44e6ba46118c2f66eae1725259acdccc,core.java.com.android.internal.widget.LockPatternView,944,141,991,47,0,0,146,5,0,0,979,35,9,12,145,4,1,1,981,37,9,10,145,4,1,1,988,44,6,3,146,5,0,0,988,44,16,3,145,4,1,1,990,46,5,1,146,5,0,0,990,46,3,1,146,5,0,0,988,44,7,3,146,5,0,0,987,43,5,4,146,5,0,0,988,44,5,3,146,5,0,0
https://github.com/FasterXML/jackson-databind/commit/cfe88fe3fbcc6b02ca55cee7b1f4ab13e249edea,src.main.java.com.fasterxml.jackson.databind.type.TypeFactory,774,67,840,66,0,0,72,5,0,0,825,51,13,15,71,4,1,1,829,55,11,11,71,4,1,1,836,62,6,4,72,5,0,0,829,55,29,11,69,2,3,3,831,57,11,9,71,4,1,1,834,60,4,6,72,5,0,0,830,56,14,10,71,4,1,1,829,55,13,11,71,4,1,1,830,56,12,10,71,4,1,1
https://github.com/HdrHistogram/HdrHistogram/commit/0e65ac4da70c6ca5c67bb8418e67db914218042f,src.main.java.org.HdrHistogram.HistogramLogProcessor,102,19,214,112,0,0,21,2,0,0,210,108,1,4,21,2,0,0,212,110,1,2,21,2,0,0,209,107,4,5,21,2,0,0,210,108,8,4,21,2,0,0,212,110,1,2,21,2,0,0,214,112,0,0,21,2,0,0,211,109,3,3,21,2,0,0,210,108,1,4,21,2,0,0,210,108,1,4,21,2,0,0
https://github.com/JetBrains/MPS/commit/61b5decd4a4e5e6bbdea99eb76f136ca10915b73,editor.editor-runtime.source.jetbrains.mps.nodeEditor.cellProviders.AbstractCellListHandler,130,21,150,20,0,0,24,3,0,0,143,13,7,7,23,2,1,1,143,13,7,7,23,2,1,1,150,20,1,0,24,3,0,0,140,10,14,10,24,3,0,0,142,12,9,8,22,1,1,2,150,20,0,0,24,3,0,0,142,12,8,8,23,2,1,1,143,13,7,7,23,2,1,1,143,13,7,7,23,2,1,1
https://github.com/JetBrains/MPS/commit/ce4b0e22659c16ae83d421f9621fd3e922750764,core.project.source.jetbrains.mps.project.AbstractModule,795,77,824,29,0,0,79,2,0,0,816,21,6,8,78,1,1,1,820,25,5,4,78,1,1,1,819,24,0,5,79,2,0,0,820,25,8,4,78,1,1,1,819,24,4,5,78,1,1,1,823,28,0,1,79,2,0,0,824,29,0,0,79,2,0,0,823,28,0,1,79,2,0,0,822,27,3,2,78,1,1,1
https://github.com/JetBrains/MPS/commit/ce4b0e22659c16ae83d421f9621fd3e922750764,core.project.source.jetbrains.mps.smodel.Generator,204,27,221,17,0,0,29,2,0,0,220,16,2,1,29,2,0,0,220,16,1,1,29,2,0,0,219,15,1,2,29,2,0,0,220,16,1,1,29,2,0,0,219,15,1,2,29,2,0,0,219,15,1,2,29,2,0,0,220,16,1,1,29,2,0,0,219,15,0,2,29,2,0,0,220,16,1,1,29,2,0,0
https://github.com/JetBrains/intellij-community/commit/04397f41107bd6de41b31d45a4e8e2ed65628bbe,java.java-impl.src.com.intellij.testIntegration.createTest.CreateTestAction,118,10,137,19,0,0,12,2,0,0,132,14,10,5,11,1,1,1,132,14,7,5,11,1,1,1,133,15,1,4,12,2,0,0,133,15,9,4,11,1,1,1,132,14,10,5,11,1,1,1,137,19,4,0,12,2,0,0,133,15,10,4,11,1,1,1,133,15,7,4,11,1,1,1,133,15,9,4,11,1,1,1
https://github.com/JetBrains/intellij-community/commit/138911ce88b05039242b8d1b2bb5b7a59008f5ee,platform.lang-impl.src.com.intellij.codeInsight.documentation.DocumentationComponent,867,126,944,77,0,0,128,2,0,0,939,72,0,5,128,2,0,0,944,77,0,0,128,2,0,0,944,77,0,0,128,2,0,0,944,77,0,0,128,2,0,0,944,77,0,0,128,2,0,0,944,77,0,0,128,2,0,0,943,76,0,1,128,2,0,0,942,75,0,2,128,2,0,0,943,76,0,1,128,2,0,0
https://github.com/JetBrains/intellij-community/commit/138911ce88b05039242b8d1b2bb5b7a59008f5ee,platform.util.src.com.intellij.util.ui.UIUtil,3694,393,3716,22,0,0,395,2,0,0,3708,14,5,8,394,1,1,1,3711,17,5,5,394,1,1,1,3712,18,0,4,395,2,0,0,3715,21,1,1,394,1,1,1,3711,17,5,5,394,1,1,1,3716,22,0,0,395,2,0,0,3711,17,5,5,394,1,1,1,3711,17,5,5,394,1,1,1,3711,17,5,5,394,1,1,1
https://github.com/JetBrains/intellij-community/commit/33b0ac3a029845f9c20f7f5967c03b31b24f3b4b,platform.indexing-api.src.com.intellij.util.indexing.FileBasedIndex,198,29,203,5,0,0,30,1,0,0,203,5,0,0,30,1,0,0,203,5,0,0,30,1,0,0,203,5,0,0,30,1,0,0,203,5,0,0,30,1,0,0,203,5,0,0,30,1,0,0,203,5,0,0,30,1,0,0,203,5,0,0,30,1,0,0,203,5,0,0,30,1,0,0,203,5,0,0,30,1,0,0
https://github.com/JetBrains/intellij-community/commit/33b0ac3a029845f9c20f7f5967c03b31b24f3b4b,platform.lang-impl.src.com.intellij.util.indexing.FileBasedIndexImpl,2721,280,2725,4,0,0,281,1,0,0,2722,1,0,3,281,1,0,0,2725,4,0,0,281,1,0,0,2725,4,0,0,281,1,0,0,2725,4,0,0,281,1,0,0,2725,4,0,0,281,1,0,0,2725,4,0,0,281,1,0,0,2725,4,0,0,281,1,0,0,2724,3,0,1,281,1,0,0,2725,4,0,0,281,1,0,0
https://github.com/JetBrains/intellij-community/commit/61215911ef28ca783c5106d7c01e74cf3000a866,plugins.svn4idea.src.org.jetbrains.idea.svn.commandLine.Command,227,47,245,18,0,0,50,3,0,0,245,18,0,0,50,3,0,0,245,18,0,0,50,3,0,0,244,17,2,1,50,3,0,0,244,17,2,1,50,3,0,0,243,16,4,2,50,3,0,0,244,17,0,1,50,3,0,0,244,17,0,1,50,3,0,0,244,17,0,1,50,3,0,0,244,17,0,1,50,3,0,0
https://github.com/JetBrains/intellij-community/commit/61215911ef28ca783c5106d7c01e74cf3000a866,plugins.svn4idea.src.org.jetbrains.idea.svn.commandLine.CommandUtil,237,20,259,22,0,0,22,2,0,0,248,11,6,11,21,1,1,1,251,14,7,8,21,1,1,1,257,20,0,2,22,2,0,0,256,19,7,3,21,1,1,1,250,13,8,9,21,1,1,1,258,21,2,1,22,2,0,0,252,15,7,7,21,1,1,1,251,14,6,8,21,1,1,1,251,14,6,8,21,1,1,1
https://github.com/JetBrains/intellij-community/commit/619a6012da868d0d42d9628460f2264effe9bdba,platform.lang-impl.src.com.intellij.ide.util.gotoByName.ChooseByNameBase,1591,204,1712,121,0,0,215,11,0,0,1702,111,12,10,215,11,0,0,1706,115,2,6,215,11,0,0,1700,109,13,12,214,10,0,1,1703,112,36,9,214,10,1,1,1707,116,14,5,215,11,0,0,1707,116,6,5,215,11,0,0,1707,116,12,5,215,11,0,0,1706,115,10,6,215,11,0,0,1706,115,10,6,215,11,0,0
