url,RMD,GTG,GTS,IJM,MTD,GT2
Closure/commit/2,109.00,58.00,21.00,34.00,549.00,53.00
Closure/commit/20,122.00,34.00,17.00,36.00,468.00,45.00
Closure/commit/21,17.00,577.00,3.00,5.00,10.00,6.00
Closure/commit/22,11.00,616.00,3.00,5.00,11.00,6.00
Closure/commit/23,68.00,38.00,15.00,25.00,293.00,27.00
Closure/commit/24,15.00,39.00,5.00,11.00,48.00,11.00
Closure/commit/25,87.00,45.00,15.00,27.00,321.00,60.00
Closure/commit/26,10.00,226.00,5.00,9.00,26.00,9.00
Closure/commit/27,35.00,16.00,11.00,17.00,92.00,19.00
Closure/commit/28,2.00,65.00,2.00,3.00,3.00,2.00
Closure/commit/29,17.00,112.00,7.00,14.00,64.00,15.00
Closure/commit/3,25.00,403.00,6.00,12.00,52.00,20.00
Closure/commit/30,37.00,37.00,11.00,15.00,76.00,29.00
Closure/commit/31,131.00,363.00,27.00,48.00,828.00,73.00
Closure/commit/32,207.00,180.00,23.00,41.00,597.00,62.00
Closure/commit/33,20.00,15.00,8.00,11.00,60.00,21.00
Closure/commit/34,121.00,144.00,23.00,53.00,342.00,43.00
Closure/commit/35,73.00,22.00,17.00,28.00,354.00,47.00
Closure/commit/36,24.00,49.00,13.00,22.00,116.00,20.00
Closure/commit/37,76.00,106.00,22.00,44.00,452.00,96.00
Closure/commit/38,5.00,417.00,3.00,6.00,10.00,5.00
Closure/commit/39,15.00,76.00,5.00,10.00,37.00,12.00
Closure/commit/4,10.00,13.00,3.00,7.00,22.00,8.00
Closure/commit/40,74.00,203.00,18.00,28.00,466.00,45.00
Closure/commit/41,41.00,278.00,14.00,19.00,123.00,33.00
Closure/commit/42,60.00,32.00,29.00,47.00,430.00,85.00
Closure/commit/43,94.00,74.00,25.00,61.00,898.00,123.00
Closure/commit/44,6.00,389.00,3.00,4.00,9.00,5.00
Closure/commit/45,35.00,238.00,11.00,16.00,140.00,20.00
Closure/commit/46,8.00,861.00,3.00,4.00,13.00,5.00
Closure/commit/47,41.00,402.00,9.00,16.00,100.00,28.00
Closure/commit/48,100.00,325.00,24.00,48.00,839.00,123.00
Closure/commit/49,19.00,56.00,6.00,10.00,49.00,16.00
Closure/commit/5,16.00,136.00,5.00,13.00,57.00,14.00
Closure/commit/50,27.00,267.00,8.00,13.00,78.00,13.00
Closure/commit/51,6.00,383.00,3.00,4.00,9.00,5.00
Closure/commit/52,93.00,15.00,14.00,23.00,222.00,26.00
Closure/commit/53,16.00,96.00,6.00,12.00,54.00,14.00
Closure/commit/54,129.00,339.00,51.00,77.00,1075.00,149.00
Closure/commit/55,14.00,5.00,5.00,6.00,38.00,11.00
Closure/commit/56,12.00,17.00,4.00,8.00,32.00,10.00
Closure/commit/57,11.00,19.00,4.00,7.00,25.00,9.00
Closure/commit/58,12.00,180.00,4.00,7.00,21.00,8.00
Closure/commit/59,103.00,60.00,23.00,42.00,507.00,55.00
Closure/commit/6,29.00,35.00,10.00,16.00,131.00,30.00
Closure/commit/60,175.00,72.00,30.00,49.00,1060.00,61.00
Closure/commit/61,165.00,140.00,34.00,55.00,1007.00,56.00
Closure/commit/62,6.00,452.00,2.00,4.00,7.00,5.00
Closure/commit/64,152.00,372.00,21.00,35.00,552.00,77.00
Closure/commit/65,96.00,202.00,25.00,33.00,258.00,27.00
Closure/commit/66,102.00,23.00,25.00,40.00,602.00,74.00
Closure/commit/67,25.00,16.00,8.00,14.00,93.00,19.00
Closure/commit/68,188.00,172.00,82.00,73.00,857.00,78.00
Closure/commit/69,105.00,124.00,43.00,46.00,624.00,52.00
Closure/commit/7,24.00,57.00,7.00,11.00,70.00,30.00
Closure/commit/70,86.00,100.00,22.00,30.00,569.00,108.00
Closure/commit/71,20.00,323.00,7.00,11.00,66.00,14.00
Closure/commit/72,18.00,810.00,8.00,14.00,45.00,16.00
Closure/commit/73,94.00,178.00,14.00,24.00,219.00,26.00
Closure/commit/74,96.00,257.00,40.00,45.00,523.00,38.00
Closure/commit/75,156.00,48.00,33.00,51.00,965.00,58.00
Closure/commit/76,20.00,71.00,5.00,8.00,31.00,12.00
Closure/commit/77,86.00,174.00,14.00,22.00,208.00,25.00
Closure/commit/78,78.00,89.00,17.00,29.00,393.00,31.00
Closure/commit/79,36.00,1045.00,11.00,16.00,109.00,28.00
Closure/commit/8,7.00,679.00,3.00,5.00,12.00,6.00
Closure/commit/80,224.00,87.00,29.00,47.00,963.00,104.00
Closure/commit/81,61.00,80.00,27.00,44.00,353.00,90.00
Closure/commit/82,27.00,9.00,9.00,12.00,114.00,19.00
Closure/commit/83,16.00,749.00,7.00,15.00,73.00,18.00
Closure/commit/84,56.00,26.00,15.00,33.00,276.00,87.00
Closure/commit/85,7.00,545.00,3.00,4.00,14.00,9.00
Closure/commit/86,165.00,74.00,24.00,37.00,649.00,77.00
Closure/commit/87,68.00,17.00,18.00,21.00,164.00,27.00
Closure/commit/88,16.00,18.00,5.00,7.00,25.00,12.00
Closure/commit/89,69.00,298.00,25.00,34.00,282.00,46.00
Closure/commit/9,10.00,250.00,4.00,8.00,25.00,8.00
Closure/commit/90,53.00,53.00,17.00,29.00,202.00,43.00
Closure/commit/91,5.00,364.00,2.00,3.00,7.00,4.00
Closure/commit/92,39.00,559.00,10.00,19.00,152.00,21.00
Closure/commit/94,135.00,28.00,24.00,38.00,547.00,46.00
Closure/commit/95,72.00,219.00,33.00,46.00,665.00,105.00
Closure/commit/96,84.00,57.00,19.00,32.00,441.00,44.00
Closure/commit/97,55.00,72.00,11.00,20.00,176.00,22.00
Closure/commit/98,15.00,156.00,6.00,11.00,49.00,14.00
Closure/commit/99,9.00,298.00,2.00,4.00,7.00,4.00
Codec/commit/1,29.00,738.00,9.00,18.00,50.00,14.00
Codec/commit/10,6.00,618.00,3.00,5.00,12.00,4.00
Codec/commit/12,5.00,131.00,2.00,3.00,5.00,3.00
Codec/commit/13,84.00,32.00,28.00,44.00,347.00,42.00
Codec/commit/14,60.00,774.00,19.00,31.00,203.00,38.00
Codec/commit/16,36.00,49.00,26.00,29.00,85.00,21.00
Codec/commit/17,7.00,7.00,4.00,4.00,24.00,7.00
Codec/commit/2,24.00,189.00,9.00,19.00,128.00,18.00
Codec/commit/3,61.00,311.00,15.00,28.00,303.00,27.00
Codec/commit/4,28.00,11.00,9.00,17.00,142.00,22.00
Codec/commit/5,27.00,86.00,10.00,22.00,135.00,20.00
Codec/commit/6,5.00,315.00,2.00,3.00,6.00,4.00
Codec/commit/7,39.00,11.00,10.00,17.00,135.00,20.00
Codec/commit/8,41.00,361.00,18.00,24.00,169.00,30.00
Codec/commit/9,32.00,25.00,17.00,22.00,173.00,23.00
Collections/commit/25,49.00,37.00,15.00,24.00,336.00,75.00
Collections/commit/26,4.00,565.00,2.00,4.00,9.00,5.00
Collections/commit/27,15.00,10.00,6.00,9.00,55.00,17.00
Collections/commit/28,146.00,203.00,26.00,36.00,867.00,50.00
Compress/commit/1,11.00,5.00,5.00,8.00,35.00,9.00
Compress/commit/10,30.00,117.00,9.00,16.00,115.00,22.00
Compress/commit/11,7.00,631.00,3.00,6.00,11.00,10.00
Compress/commit/12,20.00,56.00,7.00,13.00,46.00,14.00
Compress/commit/13,23.00,10.00,13.00,12.00,60.00,18.00
Compress/commit/14,12.00,42.00,7.00,13.00,40.00,10.00
Compress/commit/15,41.00,76.00,9.00,13.00,64.00,14.00
Compress/commit/16,7.00,705.00,4.00,8.00,17.00,14.00
Compress/commit/17,25.00,42.00,8.00,17.00,88.00,15.00
Compress/commit/18,16.00,45.00,7.00,12.00,56.00,14.00
Compress/commit/19,8.00,42.00,4.00,6.00,18.00,7.00
Compress/commit/2,8.00,308.00,3.00,7.00,11.00,6.00
Compress/commit/20,16.00,91.00,7.00,11.00,52.00,12.00
Compress/commit/21,29.00,13.00,9.00,14.00,127.00,18.00
Compress/commit/22,68.00,57.00,13.00,29.00,255.00,37.00
Compress/commit/23,16.00,12.00,4.00,8.00,28.00,15.00
Compress/commit/24,29.00,45.00,13.00,16.00,93.00,19.00
Compress/commit/25,51.00,25.00,19.00,24.00,181.00,35.00
Compress/commit/26,5.00,276.00,2.00,3.00,7.00,3.00
Compress/commit/27,16.00,34.00,7.00,13.00,78.00,15.00
Compress/commit/28,22.00,14.00,7.00,13.00,58.00,18.00
Compress/commit/29,144.00,411.00,49.00,91.00,516.00,121.00
Compress/commit/3,7.00,745.00,4.00,6.00,14.00,5.00
Compress/commit/30,48.00,20.00,12.00,24.00,233.00,28.00
Compress/commit/31,16.00,32.00,6.00,12.00,73.00,14.00
Compress/commit/32,24.00,178.00,7.00,11.00,65.00,19.00
Compress/commit/33,13.00,1298.00,6.00,7.00,22.00,21.00
Compress/commit/34,6.00,638.00,3.00,5.00,12.00,6.00
Compress/commit/35,16.00,30.00,6.00,12.00,71.00,14.00
Compress/commit/36,48.00,15.00,13.00,25.00,248.00,29.00
Compress/commit/37,20.00,186.00,7.00,13.00,70.00,16.00
Compress/commit/38,31.00,12.00,10.00,16.00,158.00,21.00
Compress/commit/39,12.00,17.00,4.00,5.00,19.00,6.00
Compress/commit/4,48.00,1384.00,24.00,36.00,180.00,45.00
Compress/commit/40,6.00,148.00,2.00,3.00,5.00,3.00
Compress/commit/41,38.00,225.00,12.00,20.00,177.00,29.00
Compress/commit/42,22.00,12.00,8.00,14.00,93.00,17.00
Compress/commit/43,98.00,299.00,19.00,29.00,467.00,72.00
Compress/commit/44,2.00,39.00,2.00,2.00,4.00,2.00
Compress/commit/45,21.00,22.00,10.00,16.00,88.00,18.00
