url,srcFileName,ignoredMappings,ignoredElements,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN
https://github.com/gradle/gradle/commit/f394599bf1423be0be2d5822ed7f1271d2841225,subprojects.platform-jvm.src.main.json.org.gradle.jvm.plugins.JarBinaryRules.json,24,3,25,1,0,0,3,0,0,0,25,1,0,0,3,0,0,0,25,1,0,0,3,0,0,0
https://github.com/gradle/gradle/commit/ba1da95200d080aef6251f13ced0ca67dff282be,subprojects.tooling-api.src.main.json.org.gradle.tooling.tests.TestExecutionException.json,13,3,14,1,0,0,3,0,0,0,14,1,0,0,3,0,0,0,14,1,0,0,3,0,0,0
https://github.com/bitcoinj/bitcoinj/commit/95bfa40630e34f6f369e0055d9f37f49bca60247,core.src.main.json.org.bitcoinj.core.Peer.json,1129,122,1153,24,0,0,124,2,0,0,1145,16,5,8,123,1,1,1,1147,18,5,6,123,1,1,1
https://github.com/gwtproject/gwt/commit/e0dda9f61b7c409944c4734edf75b108e0288f59,user.super.com.google.gwt.emul.json.security.MessageDigest.json,91,13,94,3,0,0,14,1,0,0,94,3,1,0,14,1,0,0,91,0,2,3,13,0,0,1
https://github.com/apache/camel/commit/cb0935e3af05b333b5c85a4fb3b1846836218f11,components.camel-quartz2.src.main.json.org.apache.camel.component.quartz2.QuartzComponent.json,284,36,332,48,0,0,39,3,0,0,330,46,0,2,39,3,0,0,332,48,0,0,39,3,0,0
https://github.com/Alluxio/alluxio/commit/5b184ac783784c1ca4baf1437888c79bd9460763,servers.src.main.json.tachyon.worker.block.evictor.LRUEvictor.json,74,13,165,91,0,0,16,3,0,0,158,84,7,7,15,2,1,1,158,84,7,7,15,2,1,1
https://github.com/JetBrains/intellij-community/commit/af618666043f21b3db7e6a1be2aa225ae0f432b4,platform.platform-impl.src.com.intellij.openapi.editor.impl.EditorGutterComponentImpl.json,1607,155,1649,42,0,0,158,3,0,0,1648,41,1,1,158,3,0,0,1649,42,0,0,158,3,0,0
https://github.com/jline/jline2/commit/80d3ffb5aafa90992385c17e8338c2cc5def3cec,src.main.json.jline.console.ConsoleReader.json,2802,200,2830,28,0,0,203,3,0,0,2813,11,9,17,201,1,1,2,2817,15,13,13,201,1,2,2
https://github.com/Activiti/Activiti/commit/ca7d0c3b33a0863bed04c77932b9ef6b1317f34e,modules.activiti-engine.src.main.json.org.activiti.engine.impl.persistence.entity.UserEntityTest.json,57,12,58,1,0,0,12,0,0,0,58,1,0,0,12,0,0,0,58,1,0,0,12,0,0,0
https://github.com/JetBrains/intellij-community/commit/98ecc4cfd927f388645f6a6bc492c80868b1a11d,plugins.properties.src.com.intellij.lang.properties.create.CreateResourceBundleDialogComponent.json,423,57,438,15,0,0,60,3,0,0,436,13,1,2,60,3,0,0,437,14,1,1,60,3,0,0
https://github.com/HdrHistogram/HdrHistogram/commit/0e65ac4da70c6ca5c67bb8418e67db914218042f,src.main.json.org.HdrHistogram.HistogramLogProcessor.json,101,19,211,110,0,0,21,2,0,0,208,107,1,3,21,2,0,0,209,108,1,2,21,2,0,0
https://github.com/iNPUTmice/Conversations/commit/e6cb12dfe414497b4317820497985c110cb81864,src.main.json.eu.siacs.conversations.ui.adapter.MessageAdapter.json,357,44,567,210,0,0,49,5,0,0,554,197,11,13,48,4,0,1,556,199,15,11,48,4,1,1
https://github.com/brettwooldridge/HikariCP/commit/1571049ec04b1e7e6f082ed5ec071584e7200c12,src.main.json.com.zaxxer.hikari.util.ConcurrentBag.json,181,23,184,3,0,0,24,1,0,0,182,1,0,2,24,1,0,0,184,3,0,0,24,1,0,0
