url,RMD,GTG,GTS,IJM,MTD,GT2
Closure/commit/60,159.25,89.00,30.75,51.50,851.50,79.75
Closure/commit/61,189.25,144.50,36.00,65.75,896.00,90.50
Closure/commit/62,5.75,538.75,2.50,5.00,7.00,5.00
Closure/commit/64,116.00,467.75,33.25,41.00,507.00,63.50
Closure/commit/65,85.75,210.25,17.50,32.00,200.75,30.00
Closure/commit/66,109.75,31.25,32.75,46.75,535.25,93.25
Closure/commit/67,23.00,17.00,7.50,14.25,74.00,20.00
Closure/commit/68,151.25,191.75,94.00,75.25,684.75,95.25
Closure/commit/69,103.75,120.25,32.75,44.25,513.75,56.75
Closure/commit/7,18.00,56.50,6.50,11.00,53.50,29.00
Closure/commit/70,88.00,107.00,22.25,35.75,513.25,120.75
Closure/commit/71,20.75,362.00,8.50,14.50,60.25,16.50
Closure/commit/72,17.25,886.75,7.75,13.00,37.50,17.25
Closure/commit/73,93.25,206.25,17.50,27.00,191.75,28.75
Closure/commit/74,86.75,245.25,24.75,36.00,390.50,37.50
Closure/commit/75,138.00,47.50,30.00,56.00,814.75,59.00
Closure/commit/76,17.50,72.25,5.00,8.00,25.00,12.25
Closure/commit/77,86.75,206.75,18.50,31.50,187.00,29.25
Closure/commit/78,82.50,104.75,24.50,33.75,350.50,38.25
Closure/commit/79,33.50,1089.75,12.75,18.25,93.50,27.75
Closure/commit/8,7.75,721.50,3.25,6.50,11.50,6.75
Closure/commit/80,161.50,87.50,32.00,52.25,832.50,73.50
Closure/commit/81,57.00,70.75,16.50,37.75,252.50,92.50
Closure/commit/82,32.25,11.75,12.25,16.50,105.50,21.50
Closure/commit/83,15.75,745.50,7.75,16.25,56.50,19.25
Closure/commit/84,50.00,26.25,15.50,35.25,213.25,87.00
Closure/commit/85,7.00,614.25,3.25,4.75,12.75,9.25
Closure/commit/86,125.75,92.25,47.75,62.25,605.25,67.75
Closure/commit/87,65.75,17.25,16.00,23.00,142.75,30.75
Closure/commit/88,12.50,16.00,4.00,6.75,18.25,10.50
Closure/commit/89,61.25,298.25,20.75,33.00,210.50,45.00
Closure/commit/9,10.00,270.75,4.75,8.25,23.50,9.25
Closure/commit/90,52.50,56.50,19.00,29.00,167.25,46.25
Closure/commit/91,5.00,396.50,2.75,3.75,6.25,3.75
Closure/commit/92,36.75,605.50,12.25,21.00,131.75,21.50
Closure/commit/94,99.75,28.75,23.50,35.75,456.50,47.00
Closure/commit/95,73.50,212.50,19.75,38.25,477.25,109.00
Closure/commit/96,86.25,66.25,19.75,36.00,369.75,48.00
Closure/commit/97,52.00,75.00,14.00,21.75,153.75,24.25
Closure/commit/98,16.25,176.25,7.50,12.75,47.75,15.75
Closure/commit/99,7.00,319.75,2.00,4.00,5.50,4.25
Codec/commit/1,28.50,818.50,10.00,18.75,41.00,14.75
Codec/commit/10,5.50,679.25,3.25,6.00,9.75,4.25
Codec/commit/12,4.50,138.75,1.50,3.00,4.00,3.00
Codec/commit/13,58.00,20.25,16.50,26.75,237.50,32.25
Codec/commit/14,58.00,839.75,22.25,36.25,185.75,43.75
Codec/commit/16,34.25,55.75,28.00,26.75,67.25,23.25
Codec/commit/17,6.25,6.75,3.25,4.75,19.00,8.00
Codec/commit/2,22.25,209.50,10.00,17.25,97.25,18.00
Codec/commit/3,61.75,381.00,18.75,31.25,268.50,32.25
Codec/commit/4,29.25,12.00,12.00,18.50,113.75,24.50
Codec/commit/5,26.25,107.75,13.50,22.00,121.50,21.50
Codec/commit/6,3.50,327.50,2.00,3.25,5.00,3.25
Codec/commit/7,35.50,16.50,15.25,20.50,125.00,30.00
Codec/commit/8,27.50,368.50,12.25,29.75,123.75,25.50
Codec/commit/9,33.00,23.75,15.75,20.75,139.00,28.75
Collections/commit/25,48.00,35.00,15.00,19.75,274.75,76.00
Collections/commit/26,4.75,588.75,3.00,4.00,9.50,4.50
Collections/commit/27,19.25,13.00,8.50,10.50,54.25,21.75
Collections/commit/28,165.25,241.00,41.50,43.00,762.00,57.50
Compress/commit/1,12.75,6.50,6.50,9.00,33.25,11.25
Compress/commit/10,27.50,136.75,10.25,17.00,105.50,28.00
Compress/commit/11,5.00,638.75,2.50,4.75,9.25,9.50
Compress/commit/12,18.50,59.00,7.75,11.75,42.50,15.00
Compress/commit/13,30.50,11.25,10.00,14.25,64.00,19.00
Compress/commit/14,12.25,47.00,5.00,9.00,32.50,10.75
Compress/commit/15,33.50,78.50,7.25,11.75,51.75,14.00
Compress/commit/16,6.00,674.00,3.00,5.75,11.00,10.25
Compress/commit/17,21.75,45.50,8.50,14.75,79.75,17.75
Compress/commit/18,18.50,51.25,8.25,21.00,49.25,17.00
Compress/commit/19,8.50,46.75,3.25,6.25,16.50,9.50
Compress/commit/2,11.25,383.25,3.75,14.75,13.50,7.50
Compress/commit/20,19.50,125.50,9.50,15.00,63.00,16.75
Compress/commit/21,33.00,15.50,9.50,21.25,107.50,20.25
Compress/commit/22,61.75,75.25,23.00,32.00,226.25,35.50
Compress/commit/23,13.25,12.50,4.25,7.50,22.00,14.00
Compress/commit/24,16.75,41.50,8.00,13.50,62.00,15.50
Compress/commit/25,36.75,15.75,11.50,19.00,125.00,27.50
Compress/commit/26,4.25,259.75,2.25,3.00,7.00,4.00
Compress/commit/27,16.50,37.00,9.00,14.75,66.75,15.50
Compress/commit/28,18.75,16.25,6.75,10.50,45.50,15.50
Compress/commit/29,141.00,426.75,50.75,84.50,397.50,122.50
Compress/commit/3,7.00,805.75,3.75,5.50,12.25,6.25
Compress/commit/30,49.50,22.50,13.25,25.50,189.00,27.25
Compress/commit/31,18.75,39.25,10.00,16.00,66.25,17.75
Compress/commit/32,17.75,192.50,7.25,11.50,47.25,15.75
Compress/commit/33,9.75,1331.50,6.00,9.75,20.00,22.50
Compress/commit/34,6.25,698.50,3.00,5.00,11.25,6.75
Compress/commit/35,19.75,35.25,10.50,15.00,69.50,17.25
Compress/commit/36,52.50,16.50,14.25,27.75,218.25,34.25
Compress/commit/37,18.75,218.50,7.75,12.00,56.75,17.00
Compress/commit/38,28.75,11.50,12.00,15.75,123.25,21.50
Compress/commit/39,9.00,18.50,5.00,7.50,20.00,9.25
Compress/commit/4,52.25,1479.00,19.50,32.75,141.50,44.00
Compress/commit/40,7.50,197.25,2.00,4.00,4.25,4.25
Compress/commit/41,53.50,281.50,14.00,28.00,166.00,37.00
Compress/commit/42,28.50,18.25,13.25,18.00,96.00,22.00
Compress/commit/43,73.25,342.75,24.25,38.75,405.00,66.50
Compress/commit/44,2.00,43.00,1.75,2.25,2.50,2.25
Compress/commit/45,16.50,19.25,8.00,13.50,69.25,15.50
Compress/commit/46,17.25,6.75,5.50,9.00,37.75,17.00
Compress/commit/47,52.00,60.75,14.25,37.25,176.50,36.00
Compress/commit/5,11.00,121.75,4.00,8.00,20.75,8.50
Compress/commit/6,10.00,6.25,4.50,7.00,23.25,8.50
Compress/commit/7,6.50,730.25,3.50,5.00,13.00,5.75
Compress/commit/9,7.50,510.75,4.00,7.25,15.00,8.50
Csv/commit/1,3.00,143.25,1.50,2.75,3.75,2.75
Csv/commit/10,11.25,9.25,4.25,7.75,24.00,9.25
Csv/commit/11,9.75,97.00,5.00,7.50,30.00,12.00
Csv/commit/12,36.25,24.50,13.00,13.00,103.25,25.00
Csv/commit/13,43.00,33.50,16.75,24.50,172.75,36.00
Csv/commit/14,60.25,182.75,20.75,25.50,325.00,47.50
Csv/commit/15,54.25,153.50,18.50,27.75,362.75,47.50
Csv/commit/16,15.50,17.50,6.25,9.25,43.50,15.00
Csv/commit/2,3.50,155.00,2.25,3.00,5.50,3.25
Csv/commit/3,3.25,230.50,2.00,3.50,6.00,5.25
Csv/commit/4,9.25,5.00,4.00,5.50,24.00,10.00
Csv/commit/5,11.75,4.75,4.00,7.25,23.25,9.00
Csv/commit/6,4.50,324.50,3.00,4.00,7.75,4.75
Csv/commit/7,10.50,39.00,6.25,10.75,38.75,14.00
Csv/commit/8,24.00,62.25,8.75,16.00,79.00,17.00
Csv/commit/9,5.00,308.00,2.75,4.00,8.00,5.00
Gson/commit/1,5.75,916.25,3.25,5.75,10.00,6.00
Gson/commit/10,19.00,128.00,4.50,8.00,25.50,16.25
Gson/commit/11,58.50,31.00,16.00,24.75,240.00,43.25
Gson/commit/12,12.75,7.00,5.50,9.25,29.25,11.50
Gson/commit/13,70.75,210.75,20.75,31.50,298.00,39.00
Gson/commit/14,23.00,12.00,8.00,12.50,79.75,18.00
Gson/commit/15,17.25,10.75,7.50,9.25,44.75,18.00
Gson/commit/16,27.50,705.00,10.25,15.25,90.00,19.50
Gson/commit/17,6.75,318.25,2.75,3.50,6.75,6.00
Gson/commit/18,24.75,11.00,8.50,13.00,85.25,17.50
Gson/commit/2,62.75,59.75,20.75,27.75,209.50,39.75
Gson/commit/3,19.25,2242.00,6.25,9.75,19.00,20.75
Gson/commit/4,137.25,320.75,34.00,55.50,440.00,64.75
Gson/commit/5,18.75,1247.00,6.25,12.75,37.25,13.00
Gson/commit/6,4.00,134.75,1.50,3.00,3.00,5.50
Gson/commit/7,72.75,190.75,27.25,43.75,350.50,52.00
Gson/commit/8,19.75,297.00,2.75,4.00,7.00,4.00
Gson/commit/9,84.00,553.75,30.50,44.00,317.50,70.75
JacksonCore/commit/1,34.00,18.00,13.50,22.25,72.50,26.50
JacksonCore/commit/10,42.75,29.25,14.25,27.75,199.00,25.00
JacksonCore/commit/11,40.25,14.50,12.75,24.75,185.00,24.50
JacksonCore/commit/12,472.25,482.50,108.25,193.00,2457.50,171.00
JacksonCore/commit/13,3.00,175.75,2.25,3.00,5.00,7.00
JacksonCore/commit/14,11.50,633.25,4.00,8.50,19.50,6.75
JacksonCore/commit/15,32.75,512.25,10.50,26.50,96.75,18.00
JacksonCore/commit/17,122.25,62.50,35.50,73.75,620.75,65.00
JacksonCore/commit/18,220.25,68.50,67.00,138.25,1181.25,132.25
JacksonCore/commit/19,390.50,535.25,84.00,205.00,2467.00,215.25
JacksonCore/commit/2,290.50,930.50,81.50,160.00,1697.50,132.75
JacksonCore/commit/20,52.00,27.00,26.75,39.50,276.25,45.25
JacksonCore/commit/21,40.00,546.25,11.00,26.00,123.75,25.00
JacksonCore/commit/22,52.50,2648.25,25.75,40.00,278.75,42.75
JacksonCore/commit/23,10.00,5.50,5.25,8.50,22.00,8.50
JacksonCore/commit/25,138.75,77.00,41.00,74.75,965.00,96.25
JacksonCore/commit/26,143.25,50.75,47.25,78.25,920.50,68.50
JacksonCore/commit/3,166.25,52.50,45.75,81.75,1093.25,73.75
JacksonCore/commit/4,15.50,8.00,6.25,10.75,43.00,11.25
JacksonCore/commit/5,6.00,560.25,2.50,5.00,9.75,4.75
JacksonCore/commit/6,7.75,617.00,4.50,7.50,11.00,7.75
JacksonCore/commit/7,7.75,411.00,2.25,5.25,7.50,4.75
JacksonCore/commit/8,16.75,7.00,5.75,11.25,46.75,12.50
JacksonCore/commit/9,355.50,113.25,87.50,179.75,2101.75,174.00
JacksonDatabind/commit/1,15.00,39.25,6.00,10.00,47.00,17.75
JacksonDatabind/commit/10,39.00,480.00,15.50,26.25,119.25,42.00
JacksonDatabind/commit/100,10.50,3.50,3.25,8.50,18.50,13.25
JacksonDatabind/commit/101,58.75,500.00,16.75,37.25,208.25,35.25
JacksonDatabind/commit/102,9.25,892.75,4.75,7.50,14.00,10.25
JacksonDatabind/commit/103,661.00,2116.00,212.50,332.00,2350.50,463.25
JacksonDatabind/commit/104,36.25,80.75,14.00,31.75,129.00,25.00
JacksonDatabind/commit/105,4.25,70.25,1.50,3.75,3.50,3.75
JacksonDatabind/commit/106,11.25,6.75,7.50,11.50,21.25,11.00
JacksonDatabind/commit/107,9.50,1087.50,8.50,9.50,14.75,12.00
JacksonDatabind/commit/108,99.25,46.00,38.50,49.25,492.25,58.00
JacksonDatabind/commit/109,12.75,1171.25,6.50,10.25,21.75,23.00
JacksonDatabind/commit/11,50.00,20.75,15.25,36.25,198.00,28.25
JacksonDatabind/commit/110,6.75,904.75,3.50,6.25,13.75,7.75
JacksonDatabind/commit/111,33.75,2890.75,18.50,35.75,55.75,56.75
JacksonDatabind/commit/112,8.75,61.25,3.50,6.75,15.25,9.50
JacksonDatabind/commit/12,36.00,13.50,10.50,21.00,105.25,26.00
JacksonDatabind/commit/13,25.75,256.50,7.25,13.00,36.50,22.00
JacksonDatabind/commit/14,49.75,33.50,23.25,33.25,329.75,43.75
JacksonDatabind/commit/15,96.25,2012.00,36.25,67.75,294.25,102.75
JacksonDatabind/commit/16,3.00,127.50,1.75,2.50,4.00,2.75
JacksonDatabind/commit/17,145.25,100.00,52.75,91.25,1150.75,101.50
JacksonDatabind/commit/19,40.00,18.00,17.00,22.25,191.00,30.50
JacksonDatabind/commit/2,99.00,30.25,27.00,47.50,395.00,53.00
JacksonDatabind/commit/20,27.25,11.25,12.00,27.00,93.25,23.25
JacksonDatabind/commit/21,34.00,13.25,11.50,20.25,150.25,29.25
JacksonDatabind/commit/22,184.00,728.50,39.50,68.00,341.50,82.25
JacksonDatabind/commit/23,8.75,1296.50,6.00,13.50,25.25,13.00
JacksonDatabind/commit/24,10.25,1512.00,3.75,8.25,16.75,11.75
JacksonDatabind/commit/25,147.25,1563.50,42.25,80.25,723.75,98.75
JacksonDatabind/commit/26,24.25,10.25,8.75,14.00,76.25,25.25
JacksonDatabind/commit/27,36.25,279.25,10.50,19.25,123.50,20.50
JacksonDatabind/commit/29,22.00,37.00,7.25,13.00,47.50,18.00
JacksonDatabind/commit/3,6.25,570.25,3.25,5.50,11.50,6.00
JacksonDatabind/commit/30,328.50,256.00,73.50,153.75,1944.75,191.25
JacksonDatabind/commit/31,109.50,40.00,29.00,36.75,384.50,81.75
JacksonDatabind/commit/32,29.50,499.00,11.50,22.25,90.50,28.75
JacksonDatabind/commit/33,55.00,42.75,19.00,42.50,209.25,43.50
JacksonDatabind/commit/34,2.75,113.25,1.00,2.25,3.50,3.75
JacksonDatabind/commit/35,3.75,244.75,1.75,3.25,4.75,4.25
JacksonDatabind/commit/36,16.25,10.25,6.00,10.25,39.25,11.25
JacksonDatabind/commit/37,7.25,812.50,5.00,6.50,15.50,6.50
JacksonDatabind/commit/38,22.25,1637.00,9.25,16.50,29.00,16.25
JacksonDatabind/commit/39,1.00,19.75,1.00,1.50,2.00,2.25
JacksonDatabind/commit/4,6.00,586.25,3.25,5.75,10.75,6.50
JacksonDatabind/commit/40,17.75,13.25,6.75,9.50,52.00,13.00
JacksonDatabind/commit/42,11.00,135.75,4.50,8.50,20.50,11.50
JacksonDatabind/commit/43,3.00,161.75,1.75,3.25,5.00,3.50
JacksonDatabind/commit/44,7.50,1049.00,4.50,6.75,22.00,8.00
JacksonDatabind/commit/45,4.75,428.50,4.00,7.25,8.25,8.00
JacksonDatabind/commit/46,4.75,322.00,2.75,4.50,8.25,4.25
JacksonDatabind/commit/47,25.50,381.00,13.00,24.75,123.50,35.00
JacksonDatabind/commit/48,56.50,34.25,23.75,37.75,214.50,53.25
