url,srcFileName,ignoredMappings,ignoredElements,RMD_TP_raw_abstractMapping,RMD_TP_abstractMapping,RMD_FP_abstractMapping,RMD_FN_abstractMapping,RMD_TP_raw_programElement,RMD_TP_programElement,RMD_FP_programElement,RMD_FN_programElement,GTG_TP_raw_abstractMapping,GTG_TP_abstractMapping,GTG_FP_abstractMapping,GTG_FN_abstractMapping,GTG_TP_raw_programElement,GTG_TP_programElement,GTG_FP_programElement,GTG_FN_programElement,GTS_TP_raw_abstractMapping,GTS_TP_abstractMapping,GTS_FP_abstractMapping,GTS_FN_abstractMapping,GTS_TP_raw_programElement,GTS_TP_programElement,GTS_FP_programElement,GTS_FN_programElement,IJM_TP_raw_abstractMapping,IJM_TP_abstractMapping,IJM_FP_abstractMapping,IJM_FN_abstractMapping,IJM_TP_raw_programElement,IJM_TP_programElement,IJM_FP_programElement,IJM_FN_programElement,MTD_TP_raw_abstractMapping,MTD_TP_abstractMapping,MTD_FP_abstractMapping,MTD_FN_abstractMapping,MTD_TP_raw_programElement,MTD_TP_programElement,MTD_FP_programElement,MTD_FN_programElement,GT2_TP_raw_abstractMapping,GT2_TP_abstractMapping,GT2_FP_abstractMapping,GT2_FN_abstractMapping,GT2_TP_raw_programElement,GT2_TP_programElement,GT2_FP_programElement,GT2_FN_programElement
https://github.com/JetBrains/intellij-community/commit/619a6012da868d0d42d9628460f2264effe9bdba,platform.lang-impl.src.com.intellij.ide.util.gotoByName.ChooseByNameBase,1005,204,1071,66,0,0,215,11,0,0,1070,65,0,1,215,11,0,0,1070,65,0,1,215,11,0,0,1066,61,3,5,214,10,0,1,1067,62,3,4,214,10,1,1,1070,65,3,1,215,11,0,0
https://github.com/JetBrains/intellij-community/commit/6905d569a1e39d0d7b1ec5ceee4f0bbe60b85947,python.educational.src.com.jetbrains.edu.courseFormat.Lesson,28,18,28,0,0,0,19,1,0,0,28,0,0,0,19,1,0,0,28,0,0,0,19,1,0,0,28,0,0,0,19,1,0,0,28,0,0,0,19,1,0,0,28,0,0,0,19,1,0,0
https://github.com/JetBrains/intellij-community/commit/6905d569a1e39d0d7b1ec5ceee4f0bbe60b85947,python.educational.src.com.jetbrains.edu.courseFormat.Task,107,30,107,0,0,0,31,1,0,0,107,0,0,0,31,1,0,0,107,0,0,0,31,1,0,0,107,0,0,0,31,1,0,0,107,0,0,0,31,1,0,0,107,0,0,0,31,1,0,0
https://github.com/JetBrains/intellij-community/commit/6b90205e9f7bbd1570f600d3812fd3efa1a0597e,platform.lang-impl.src.com.intellij.execution.console.RunIdeConsoleAction,123,29,155,32,0,0,44,15,0,0,133,10,0,22,31,2,0,13,133,10,0,22,31,2,0,13,133,10,0,22,31,2,0,13,133,10,0,22,30,1,1,14,133,10,0,22,31,2,0,13
https://github.com/JetBrains/intellij-community/commit/7dd55014f9840ce03867bb175cf37a4c151dc806,platform.platform-impl.src.com.intellij.openapi.options.ex.ConfigurableCardPanel,0,1,52,52,0,0,7,6,0,0,52,52,0,0,7,6,0,0,52,52,0,0,7,6,0,0,52,52,0,0,7,6,0,0,52,52,0,0,6,5,1,1,52,52,0,0,7,6,0,0
https://github.com/JetBrains/intellij-community/commit/7dd55014f9840ce03867bb175cf37a4c151dc806,platform.platform-impl.src.com.intellij.openapi.options.ex.ConfigurableWrapper,145,33,168,23,0,0,36,3,0,0,168,23,0,0,36,3,0,0,168,23,0,0,36,3,0,0,167,22,0,1,36,3,0,0,166,21,2,2,35,2,1,1,167,22,1,1,36,3,0,0
https://github.com/JetBrains/intellij-community/commit/7ed3f273ab0caf0337c22f0b721d51829bb0c877,python.educational.src.com.jetbrains.edu.stepic.EduStepicConnector,202,68,220,18,0,0,71,3,0,0,216,14,2,4,70,2,1,1,218,16,2,2,70,2,1,1,218,16,0,2,71,3,0,0,217,15,1,3,70,2,1,1,215,13,3,5,70,2,1,1
https://github.com/JetBrains/intellij-community/commit/8d7a26edd1fedb9505b4f2b4fe57b2d2958b4dd9,platform.vcs-impl.src.com.intellij.openapi.vcs.history.FileHistoryPanelImpl,927,241,1028,101,0,1,249,8,0,0,1024,97,2,5,249,8,0,0,1024,97,2,5,249,8,0,0,1024,97,1,5,249,8,0,0,1024,97,2,5,249,8,0,0,1024,97,1,5,249,8,0,0
https://github.com/JetBrains/intellij-community/commit/97811cf971f7ccf6a5fc5e90a491db2f58d49da1,jps.jps-builders.src.org.jetbrains.jps.cmdline.BuildMain,174,21,229,55,0,0,39,18,0,0,177,3,0,52,22,1,0,17,176,2,0,53,22,1,0,17,177,3,0,52,22,1,0,17,177,3,0,52,21,0,1,18,177,3,0,52,22,1,0,17
https://github.com/JetBrains/intellij-community/commit/97811cf971f7ccf6a5fc5e90a491db2f58d49da1,jps.standalone-builder.src.org.jetbrains.jps.build.Standalone,110,17,110,0,0,0,18,1,0,0,110,0,0,0,18,1,0,0,110,0,0,0,18,1,0,0,110,0,0,0,18,1,0,0,110,0,0,0,18,1,0,0,110,0,0,0,18,1,0,0
https://github.com/JetBrains/intellij-community/commit/98ecc4cfd927f388645f6a6bc492c80868b1a11d,plugins.properties.src.com.intellij.lang.properties.create.CreateResourceBundleDialogComponent,238,57,244,6,0,0,60,3,0,0,244,6,0,0,60,3,0,0,243,5,0,1,60,3,0,0,243,5,0,1,60,3,0,0,243,5,0,1,59,2,1,1,244,6,0,0,60,3,0,0
https://github.com/JetBrains/intellij-community/commit/9fbf6b852bd9766060307aff960fb597d55e24d3,platform.util.src.com.intellij.util.io.CachingEnumerator,13,10,84,71,0,0,14,4,0,0,81,68,2,3,13,3,1,1,81,68,2,3,13,3,1,1,80,67,2,4,14,4,0,0,82,69,1,2,12,2,2,2,80,67,2,4,13,3,1,1
https://github.com/JetBrains/intellij-community/commit/a9379ee529ed87e28c0736c3c6657dcd6a0680e4,platform.util.src.com.intellij.openapi.util.io.FileUtil,936,146,1008,72,0,0,150,4,0,0,1007,71,1,1,149,3,1,1,1005,69,1,3,149,3,1,1,997,61,0,11,150,4,0,0,1006,70,2,2,148,2,2,2,1007,71,1,1,149,3,1,1
